COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
CR570,Quantity Surveying,336,,392,336,,,,8
CR572,Construction Management,269,,318,269,,,,8
CR580,Electrical Engineering,318,,377,318,,,,8
CR590,Electronic Engineering,303,,379,303,,,,8
CR600,Visual Communications,#+matric,,#+matric,#+matric,,,,8
CR620,Early Childhood Education and Care,357,,454,365,,357,,6/7
CR640,Culinary Arts,244,,392,244,,,,6/7
CR650,Beverage Industry Management,209,,316,209,,,,6/7
CR655,Culinary Studies,189,,290,189,,,,6/7
CR657,Hospitality Studies,163,,198,180,,163,,6/7
CR660,Tourism Management,252,,325,252,,,,8
CR700,Theatre and Drama Studies at CIT Cork School of Music,645,,982,740,,645,,8
CR805,Marine Electrotechnology at National Maritime College of Ireland,235,,326,235,,,,6/7
CR888,Information Technology,290,,372,290,,,,6/7
CT110,Computing in Information Technology,210,,400,210,,,,6/7
CT116,Information Technology,219,,263,219,,,,6/7
CT125,Information Technology,220,,299,220,,,,8
CT325,Business,281,,338,338,,,,8
CW006,Business,AQA,,254,AQA,,AQA,,6/7
CW018,Business (options),248,,312,298,,248,,8
CW027,Sustainable Farm Management and Agribusiness,268,,360,266,,,,6/7
CW028,Early Childhood Education and Care,252,,301,252,,,,8
CW037,Business (options),195,,400,195,,,,6/7
CW038,Art (portfolio),700,,700,700,,,,8
CW047,Visual Communications and Design,181,,336,214,,181,,6/7
CW057,Art (portfolio),700,,700,700,,,,6/7
CW058,Tourism and Event Management,298,,348,298,,,,8
CW068,Applied Social Studies in Professional Social Care,245,,292,245,,,,8
CW077,Tourism and Event Management,217,,311,217,,,,6/7
CW078,Sustainable Farm Management and Agribusiness,269,,327,269,,,,8
CW088,Visual Communications and Design,274,,340,274,,,,8
CW106,Physiology and Health Science,451,,509,451,,,,6/7
CW107,Analytical Science,277,,445,277,,,,6/7
CW108,Science (options),261,,346,261,,,,8
CW116,Pharmacy Technician Studies,250,,388,250,,,,6/7
CW117,Biosciences,205,,380,205,,,,6/7
CW126,Science - Applied Biology or Applied Chemistry,191,,424,191,,,,6/7
CW128,Brewing and Distilling,263,,318,263,,,,8
CW138,Sport and Exercise Science,423,,444,423,,,,8
CW148,Strength and Conditioning,379,,400,379,,,,8
CW188,Sport Rehabilitation and Athletic Therapy,448,,466,451,,448,,8
CW206,Computing - Applications or Programming,235,,369,235,,,,6/7
CW207,Software Development,244,,329,244,,,,6/7
CW208,Computer Games Development,279,,327,279,,,,8
CW217,Information Technology Management,234,,377,234,,,,6/7
CW227,Cybercrime and IT Security,242,,357,233,,,,6/7
CW237,Computing in Interactive Digital Art and Design,212,,337,212,,,,6/7
CW238,Software Development,297,,341,297,,,,8
CW248,Information Technology Management,285,,385,285,,,,8
CW258,Cybercrime and IT Security,293,,358,293,,,,8
CW268,Computing in Interactive Digital Art and Design,287,,369,287,,,,8
CW407,Architectural Technology,188,,358,188,,,,6/7
CW417,Construction Management with Building Services,220,,322,220,,,,6/7
CW427,Civil Engineering,199,,347,199,,,,6/7
CW438,Construction (options),272,,336,272,,,,8
CW468,Architectural Technology,262,,358,262,,,,8
CW478,Civil Engineering,433,,492,433,,,,8
CW507,Aircraft Systems,294,,399,293,,,,6/7
CW517,Mechanical Engineering,276,,371,276,,,,6/7
CW527,Electronic Engineering,227,,357,227,,,,6/7
CW547,TV and Media Production,301,,413,301,,,,6/7
CW548,Mechanical Engineering,321,,371,321,,,,8
CW558,Electronic Systems,280,,361,280,,,,8
CW568,Aerospace Engineering,380,,442,380,,,,8
CW578,TV and Media Production,325,,420,325,,,,8
CW706,Legal Studies,163,,377,163,,,,6/7
CW707,Industrial Design,207,,380,207,,,,6/7
CW708,Law - LLB,302,,349,302,,,,8
CW717,Professional Social Care Practice,288,,347,288,,,,6/7
CW728,Product Design Innovation,252,,359,252,,,,8
CW748,Early Childhood Education and Care,270,,327,270,,,,8
CW758,Professional Social Care Practice,336,,358,336,,,,8
